time,x,y,z
3.668,-1.68541,-1.6088,7.00976
3.67899,-1.80032,-1.53219,7.62263
3.689,-2.33659,-1.30236,8.84838
3.69998,-2.03015,-1.80032,10.3806
3.71201,-1.07253,-2.06845,10.4955
3.72299,-0.995922,-1.41727,9.69109
3.73199,-1.14914,-0.804398,9.42295
3.74298,-1.11084,-0.995922,9.42295
3.754,-1.26405,-1.11084,9.57617
3.76498,-0.919312,-1.41727,9.88261
3.77399,-0.957617,-1.07253,9.65278
3.785,-1.03423,-0.995922,9.42295
3.79599,-0.919312,-0.957617,9.49956
3.80701,-1.22575,-1.03423,9.49956
3.87299,-0.804398,-0.842703,9.65278
3.883,-0.842703,-0.689484,9.76769
3.89398,-0.689484,-0.727789,9.88261
3.90399,-0.804398,-0.65118,9.46126
3.91498,-0.842703,-0.804398,9.72939
3.92999,-0.842703,-0.612875,9.806
3.94,-0.689484,-0.727789,9.806
3.95099,-0.612875,-0.536266,9.99752
3.96298,-0.65118,-0.536266,9.76769
3.97299,-0.727789,-0.536266,9.61448
3.983,-0.57457,-0.383047,9.8443
3.99399,-0.727789,-0.497961,9.806
4.005,-0.536266,-0.536266,9.88261
4.01599,-0.804398,-0.612875,9.88261
4.02499,-0.804398,-0.383047,9.53786
4.09299,-0.57457,-0.268133,9.76769
4.104,-0.612875,-0.191523,9.72939
4.11398,-0.459656,-0.191523,9.69109
4.125,-0.459656,-0.114914,9.57617
4.13599,-0.459656,-0.229828,9.69109
4.14499,-0.306437,-0.0766094,10.4955
4.15601,-0.153219,-0.191523,10.3806
4.16699,-0.0383047,0.0383047,10.6104
4.18201,-0.229828,-0.0766094,9.88261
4.19199,0.0,-0.0383047,9.88261
4.203,-0.114914,-0.0383047,9.72939
4.215,-0.114914,-0.114914,9.88261
4.22501,-0.114914,-0.0383047,9.8443
4.23499,-0.0766094,-0.191523,9.72939
4.246,-0.0766094,-0.0766094,9.8443
4.31198,0.0,-0.0766094,9.69109
4.323,-0.0383047,-0.114914,10.1507
4.33298,0.0383047,-0.0383047,12.1426
4.34399,0.689484,0.0,12.7172
4.354,-0.612875,-0.459656,10.304
4.36499,-0.727789,-0.0766094,10.0741
4.37601,-0.957617,-0.268133,11.8361
4.38599,-1.14914,-0.0766094,10.9168
4.396,-1.34066,-0.268133,9.806
4.40698,-1.53219,-0.919312,9.38465
